,,Grind Range for Brew-Method,,,
,,V60/ Origami with Cone Filter,Aeropress,Hario Switch/ Gina,Kalita155/ Orea with Wave Filter
Grinder,1Zpresso K-Ultra,"Grind Setting: 

6.2 - 7.0 

Grinder 0 = 1 click after burr lock


Recipe:

Dose:  16g
Brew Water: 260g
Water Temperature: 97C


Brewing Instructions:

Rinse your filter with hot water and discard the water from the carafe

0:00 Pour 60g of water in concentric circles.  Swirl the slurry three times.  
0:40 Pour to 150g  in center-weighted concentric circles. Pause until mostly drained.
~1:30 Pour to 260g of water in center-weighted concentric circles.  
Gently Swirl the bed after your last pour

Total Brew time should be between 2:50 and 3:20  

TDS:  1.3% - 1.39%
Extraction %: 20.7 - 22","Grind Setting: 

4.9 - 6.0

Grinder 0 = 1 click after burr lock


Recipe:

Dose:  16g
Brew Water: 235g
Water Temperature: 87C


Brewing Instructions:

0:00 Pour slowly in concentric circles up to 235g while slowly spinning the 
0:35 Use the aeropress paddle to stir the coffee NSEW 
1:10 Put the plunger on the aeropress and gently press until the you see the water disseapear from above the bed. 

Stop before the hissing sound.  Total brew should take 2min.  

If steeping longer, grind marginally coarser.  
If using Next Level or Sibarist Fast filters, grind finer.  

TDS:  1.34% - 1.37%
Extraction %: 20.8 - 21.2","Grind Setting: 

5.9 - 6.9 

Grinder 0 = 1 click after burr lock


Recipe:

Dose:  16g
Brew Water: 240g
Water Temperature: 97C


Brewing Instructions:

0:00 Pour in even, center-weighted concentric circles up to your brew weight of 240g. 

Stir the slurry with a plastic or wooden paddle back and fourth twice.  

2:00 Gently swirl the brewer and open the valve.  

Brew should take between 2:50 and 3:30

TDS:  1.31% - 1.39%
Extraction %: 20.5 - 21.75","Grind Setting: 

6.5 - 7.4 

Grinder 0 = 1 click after burr lock


Recipe:

Dose:  14g
Brew Water: 230g
Water Temperature: 96C


Brewing Instructions:

Rinse your filter with hot water and discard the water from the carafe

0:00 Pour 40g of water in concentric circles.   Swirl the slurry 3x.   
0:45 Pour to 80g.  Pause for 10 seconds.  
Continue to pour 30g with 10-12 second pauses until you reach 230g.  
After your last pour, gently swirl the brewer 2x.

Total Brew time should be between 3:10 and 3:40 

TDS:  1.27% - 1.31%
Extraction %: 18.7 - 19.31"
,1Zpresso ZP6 Special,"Grind Setting: 

4.0 - 5.0

Grinder 0 = 1 click after burr lock


Recipe:

Dose:  16g
Brew Water: 260g
Water Temperature: 97C


Brewing Instructions:

Rinse your filter with hot water and discard the water from the carafe

0:00 Pour 60g of water in concentric circles.  Swirl the slurry three times.  
0:40 Pour to 150g  in center-weighted concentric circles. Pause until mostly drained.
~1:30 Pour to 260g of water in center-weighted concentric circles.  
Gently Swirl the bed after your last pour

Total Brew time should be between 2:50 and 3:20 

TDS:  1.32% - 1.38%
Extraction %: 20.34 - 20.25","Grind Setting: 

3.8 - 4.9

Grinder 0 = 1 click after burr lock


Recipe:

Dose:  16g
Brew Water: 240g
Water Temperature: 87C


Brewing Instructions:

0:00 Pour slowly in concentric circles up to 240g while slowly spinning the 
0:35 Use the aeropress paddle to stir the coffee NSEW 
1:10 Put the plunger on the aeropress and gently press until the you see the water disseapear from above the bed. 

Stop before the hissing sound.  Total brew should take 2min.  

If steeping longer, grind marginally coarser.  
If using Next Level or Sibarist Fast filters, grind finer.  

TDS:  1.33% - 1.36%
Extraction %: 21.0 - 21.5","Grind Setting: 

4.0 - 5.2

Grinder 0 = 1 click after burr lock


Recipe:

Dose:  16g
Brew Water: 240g
Water Temperature: 97C


Brewing Instructions:

0:00 Pour in even, center-weighted concentric circles up to your brew weight of 240g. 

Stir the slurry with a plastic or wooden paddle back and fourth twice.  

2:00 Gently swirl the brewer and open the valve.  

Brew should take between 2:50 and 3:30

TDS:  1.31% - 1.36%
Extraction %: 20.5- 21.2","Grind Setting: 

4.0 - 6.1

Grinder 0 = 1 click after burr lock


Recipe:

Dose:  14g
Brew Water: 230g
Water Temperature: 96C


Brewing Instructions:

Rinse your filter with hot water and discard the water from the carafe

0:00 Pour 40g of water in concentric circles.   Swirl the slurry 3x.   
0:45 Pour to 80g.  Pause for 10 seconds.  
Continue to pour 30g with 10-12 second pauses until you reach 230g.  
After your last pour, gently swirl the brewer 2x.

Total Brew time should be between 3:10 and 3:40 

TDS:  1.42% - 1.45%
Extraction %: 20.95 - 21.4"
,Baratza Encore ,"Grind Setting: 

14 - 20


Recipe:

Dose:  16g
Brew Water: 260g
Water Temperature: 97C


Brewing Instructions:

Rinse your filter with hot water and discard the water from the carafe

0:00 Pour 60g of water in concentric circles.  Swirl the slurry three times.  
0:40 Pour to 150g  in center-weighted concentric circles. Pause until mostly drained.
~1:30 Pour to 260g of water in center-weighted concentric circles.  
Gently Swirl the bed after your last pour

Total Brew time should be between 2:50 and 3:20  

TDS:  1.31% - 1.4%
Extraction %: 19.1 - 20.46","Grind Setting: 

12- 15


Recipe:

Dose:  16g
Brew Water: 235g
Water Temperature: 87C


Brewing Instructions:

0:00 Pour slowly in concentric circles up to 235g while slowly spinning the aeropress
0:35 Use the aeropress paddle to stir the coffee NSEW 
1:10 Put the plunger on the aeropress and gently press until the you see the water disseapear from above the bed. 

Stop before the hissing sound.  Total brew should take 2min.  

If steeping longer, grind marginally coarser.  
If using Next Level or Sibarist Fast filters, grind finer.  

TDS:  1.23% - 1.33%
Extraction %:  19.5 - 21","Grind Setting: 

14 - 20


Recipe:

Dose:  16g
Brew Water: 235g
Water Temperature: 97C


Brewing Instructions:

0:00 Pour in even, center-weighted concentric circles up to your brew weight of 235g. 

Stir the slurry with a plastic or wooden paddle back and fourth twice.  

2:00 Gently swirl the brewer and open the valve.  

Brew should take between 2:50 and 3:30

TDS:  1.26% - 1.36%
Extraction %:  19 - 20.8","Grind Setting: 

16 - 19 


Recipe:

Dose:  14g
Brew Water: 230g
Water Temperature: 96C


Brewing Instructions:

Rinse your filter with hot water and discard the water from the carafe

0:00 Pour 40g of water in concentric circles.   Swirl the slurry 3x.   
0:45 Pour to 80g.  Pause for 10 seconds.  
Continue to pour 30g with 10-12 second pauses until you reach 230g.  
After your last pour, gently swirl the brewer 2x. 

Total Brew time should be between 3:10 and 3:40 

TDS:  1.37% - 1.45%
Extraction %: 20.7 - 22"
,Baratza Forte BG,"Grind Setting: 

6I - 7F 

Burr chirp at 1A


Recipe:

Dose:  16g
Brew Water: 270g
Water Temperature: 97C


Brewing Instructions:

Rinse your filter with hot water and discard the water from the carafe

0:00 Pour 60g of water in concentric circles.  Swirl the slurry three times.  
0:40 Pour to 150g  in center-weighted concentric circles. Pause until mostly drained.
~1:30 Pour to 260g of water in center-weighted concentric circles.  
Gently Swirl the bed after your last pour

Total Brew time should be between 2:50 and 3:20 

TDS:  1.37% - 1.41%
Extraction %: 20.9 - 21.55","Grind Setting: 

4P - 4Z

Burr chirp at 1A


Recipe:

Dose:  16g
Brew Water: 240g
Water Temperature: 87C


Brewing Instructions:

0:00 Pour slowly in concentric circles up to 240g while slowly spinning the 
0:35 Use the aeropress paddle to stir the coffee NSEW 
1:10 Put the plunger on the aeropress and gently press until the you see the water disseapear from above the bed. 

Stop before the hissing sound.  Total brew should take 2min.  

If steeping longer, grind marginally coarser.  
If using Next Level or Sibarist Fast filters, grind finer.  

TDS:  1.35% - 1.43%
Extraction %: 21.8 - 23","Grind Setting: 

6J - 6Q

Burr chirp at 1A


Recipe:

Dose:  16g
Brew Water: 240g
Water Temperature: 97C


Brewing Instructions:

0:00 Pour in even, center-weighted concentric circles up to your brew weight of 240g. 

Stir the slurry with a plastic or wooden paddle back and fourth twice.  

2:00 Gently swirl the brewer and open the valve.  

Brew should take between 2:50 and 3:30

TDS:  1.32% - 1.39%
Extraction %: 20.7 - 21.75","Grind Setting: 

5M - 6O

Burr chirp at 1A


Recipe:

Dose:  14g
Brew Water: 230g
Water Temperature: 96C


Brewing Instructions:

Rinse your filter with hot water and discard the water from the carafe

0:00 Pour 40g of water in concentric circles.   Swirl the slurry 3x.   
0:45 Pour to 80g.  Pause for 10 seconds.  
Continue to pour 30g with 10-12 second pauses until you reach 230g.  
After your last pour, gently swirl the brewer 2x.

Total Brew time should be between 3:10 and 3:40 

TDS:  1.41% - 1.44%
Extraction %: 20.8 - 21.5"
,Commandante C4,"Grind Setting: 

22 - 25 Clicks from Zero* 

*Zero=click where handle doesn't move freely


Recipe:

Dose:  16g
Brew Water: 260g
Water Temperature: 97C


Brewing Instructions:

Rinse your filter with hot water and discard the water from the carafe

0:00 Pour 60g of water in concentric circles.  Swirl the slurry three times.  
0:40 Pour to 150g  in center-weighted concentric circles. Pause until mostly drained.
~1:30 Pour to 260g of water in center-weighted concentric circles.  
Gently Swirl the bed after your last pour

Total Brew time should be between 2:50 and 3:20 

TDS:  1.32% - 1.36%
Extraction %: 19 - 19.6","Grind Setting: 

17 - 20 Clicks from Zero* 

*Zero=click where handle doesn't move freely


Recipe:

Dose:  16g
Brew Water: 235g
Water Temperature: 87C


Brewing Instructions:

0:00 Pour slowly in concentric circles up to 235g while slowly spinning the aeropress
0:35 Use the aeropress paddle to stir the coffee NSEW 
1:10 Put the plunger on the aeropress and gently press until the you see the water disseapear from above the bed. 

Stop before the hissing sound.  Total brew should take 2min.  

If steeping longer, grind marginally coarser.  
If using Next Level or Sibarist Fast filters, grind finer.  

TDS:  1.36% - 1.4%
Extraction %: 21.1- 21.7","Grind Setting: 

22 - 25 Clicks from Zero* 

*Zero=click where handle doesn't move freely


Recipe:

Dose:  16g
Brew Water: 235g
Water Temperature: 97C


Brewing Instructions:

0:00 Pour in even, center-weighted concentric circles up to your brew weight of 235g. 

Stir the slurry with a plastic or wooden paddle back and fourth twice.  

2:00 Gently swirl the brewer and open the valve.  

Brew should take between 2:50 and 3:30

TDS:  1.3% - 1.35%
Extraction %: 19.9 - 20.7","Grind Setting: 

21 - 24 Clicks from Zero* 

*Zero=click where handle doesn't move freely


Recipe:

Dose:  14g
Brew Water: 230g
Water Temperature: 96C


Brewing Instructions:

Rinse your filter with hot water and discard the water from the carafe

0:00 Pour 40g of water in concentric circles.   Swirl the slurry 3x.   
0:45 Pour to 80g.  Pause for 10 seconds.  
Continue to pour 30g with 10-12 second pauses until you reach 230g.  
After your last pour, gently swirl the brewer 2x.

Total Brew time should be between 3:10 and 3:40 

TDS:  1.31% - 1.39%
Extraction %: 19.3 - 20.4"
,Mahlkonig EK43S,"Grind Setting: 

11.5 - 13.3  


Recipe:

Dose:  16g
Brew Water: 260g
Water Temperature: 97C


Brewing Instructions:

Rinse your filter with hot water and discard the water from the carafe

0:00 Pour 60g of water in concentric circles.  Swirl the slurry three times.  
0:40 Pour to 150g  in center-weighted concentric circles. Pause until mostly drained.
~1:30 Pour to 260g of water in center-weighted concentric circles.  
Gently Swirl the bed after your last pour

Total Brew time should be between 2:50 and 3:20 

TDS:  1.37% - 1.47%
Extraction %: 20.7 - 21.6","Grind Setting: 

9.7-10.4


Recipe:

Dose:  16g
Brew Water: 240g
Water Temperature: 87C


Brewing Instructions:

0:00 Pour slowly in concentric circles up to 240g while slowly spinning the 
0:35 Use the aeropress paddle to stir the coffee NSEW 
1:10 Put the plunger on the aeropress and gently press until the you see the water disseapear from above the bed. 

Stop before the hissing sound.  Total brew should take 2min.  

If steeping longer, grind marginally coarser.  
If using Next Level or Sibarist Fast filters, grind finer.  

TDS:  1.35% - 1.41%
Extraction %: 21.5 - 22.4","Grind Setting: 

11.7-13.1


Recipe:

Dose:  16g
Brew Water: 245g
Water Temperature: 97C


Brewing Instructions:

0:00 Pour in even, center-weighted concentric circles up to your brew weight of 245g. 

Stir the slurry with a plastic or wooden paddle back and fourth twice.  

2:00 Gently swirl the brewer and open the valve.  

Brew should take between 2:50 and 3:30

TDS:  1.37% - 1.42%
Extraction %: 21.9 - 22.6","Grind Setting: 

11.4 - 12.0  


Recipe:

Dose:  14g
Brew Water: 230g
Water Temperature: 96C


Brewing Instructions:

Rinse your filter with hot water and discard the water from the carafe

0:00 Pour 40g of water in concentric circles.   Swirl the slurry 3x.   
0:45 Pour to 80g.  Pause for 10 seconds.  
Continue to pour 30g with 10-12 second pauses until you reach 230g.  
After your last pour, gently swirl the brewer 2x.

Total Brew time should be between 3:10 and 3:40 

TDS:  1.35% - 1.41%
Extraction %: 19.77- 20.66"
,Fellow Ode (Gen 2 Burrs),"Grind Setting: 

4.0 - 5.0


Recipe:

Dose:  16g
Brew Water: 260g
Water Temperature: 97C


Brewing Instructions:

Rinse your filter with hot water and discard the water from the carafe

0:00 Pour 60g of water in concentric circles.  Swirl the slurry three times.  
0:40 Pour to 150g  in center-weighted concentric circles. Pause until mostly drained.
~1:30 Pour to 260g of water in center-weighted concentric circles.  
Gently Swirl the bed after your last pour

Total Brew time should be between 2:50 and 3:20 

TDS:  1.23% - 1.36%
Extraction %: 18.0 - 20","Grind Setting: 

2.25 - 3.2


Recipe:

Dose:  16g
Brew Water: 235g
Water Temperature: 87C


Brewing Instructions:

0:00 Pour slowly in concentric circles up to 235g while slowly spinning the aeropress
0:35 Use the aeropress paddle to stir the coffee NSEW 
1:10 Put the plunger on the aeropress and gently press until the you see the water disseapear from above the bed. 

Stop before the hissing sound.  Total brew should take 2min.  

If steeping longer, grind marginally coarser.  
If using Next Level or Sibarist Fast filters, grind finer.  

TDS:  1.25% - 1.3%
Extraction %: 19.73 - 20.6","Grind Setting: 

3.1 - 4.2


Recipe:

Dose:  16g
Brew Water: 235g
Water Temperature: 97C


Brewing Instructions:

0:00 Pour in even, center-weighted concentric circles up to your brew weight of 235g. 

Stir the slurry with a plastic or wooden paddle back and fourth twice.  

2:00 Gently swirl the brewer and open the valve.  

Brew should take between 2:50 and 3:30

TDS:  1.24% - 1.26%
Extraction %: 19 - 19.3","Grind Setting: 

4.0 - 5.0


Recipe:

Dose:  14g
Brew Water: 230g
Water Temperature: 96C


Brewing Instructions:

Rinse your filter with hot water and discard the water from the carafe

0:00 Pour 40g of water in concentric circles.   Swirl the slurry 3x.   
0:45 Pour to 80g.  Pause for 10 seconds.  
Continue to pour 30g with 10-12 second pauses until you reach 230g.  
After your last pour, gently swirl the brewer 2x.

Total Brew time should be between 3:10 and 3:40 

TDS:  1.3% - 1.35%
Extraction %: 19 - 19.9"
,Fellow Opus,"Grind Setting: 

8.3 - 9.3


Recipe:

Dose:  16g
Brew Water: 260g
Water Temperature: 97C


Brewing Instructions:

Rinse your filter with hot water and discard the water from the carafe

0:00 Pour 60g of water in concentric circles.  Swirl the slurry three times.  
0:40 Pour to 150g  in center-weighted concentric circles. Pause until mostly drained.
~1:30 Pour to 260g of water in center-weighted concentric circles.  
Gently Swirl the bed after your last pour

Total Brew time should be between 2:50 and 3:20 

TDS:  1.25% - 1.37%
Extraction %: 18.5 - 20.5","Grind Setting: 

7.1 - 7.4


Recipe:

Dose:  16g
Brew Water: 235g
Water Temperature: 87C


Brewing Instructions:

0:00 Pour slowly in concentric circles up to 235g while slowly spinning the aeropress
0:35 Use the aeropress paddle to stir the coffee NSEW 
1:10 Put the plunger on the aeropress and gently press until the you see the water disseapear from above the bed. 

Stop before the hissing sound.  Total brew should take 2min.  

If steeping longer, grind marginally coarser.  
If using Next Level or Sibarist Fast filters, grind finer.  

TDS:  1.32% - 1.39%
Extraction %: 20.5 - 21.6","Grind Setting: 

8.2 - 9.2


Recipe:

Dose:  16g
Brew Water: 235g
Water Temperature: 97C


Brewing Instructions:

0:00 Pour in even, center-weighted concentric circles up to your brew weight of 235g. 

Stir the slurry with a plastic or wooden paddle back and fourth twice.  

2:00 Gently swirl the brewer and open the valve.  

Brew should take between 2:50 and 3:30

TDS:  1.32% - 1.36%
Extraction %: 20.7 - 21.3","Grind Setting: 

9.1 - 9.4


Recipe:

Dose:  14g
Brew Water: 230g
Water Temperature: 96C


Brewing Instructions:

Rinse your filter with hot water and discard the water from the carafe

0:00 Pour 40g of water in concentric circles.   Swirl the slurry 3x.   
0:45 Pour to 80g.  Pause for 10 seconds.  
Continue to pour 30g with 10-12 second pauses until you reach 230g.  
After your last pour, gently swirl the brewer 2x.

Total Brew time should be between 3:10 and 3:40 

TDS:  1.28% - 1.38%
Extraction %: 18.8 - 21.2"
,Option-O Lagom P64 (Mizen Omni Burrs),"Grind Setting: 

5.5 - 6.7 


Recipe:

Dose:  16g
Brew Water: 260g
Water Temperature: 97C


Brewing Instructions:

Rinse your filter with hot water and discard the water from the carafe

0:00 Pour 60g of water in concentric circles.  Swirl the slurry three times.  
0:40 Pour to 150g  in center-weighted concentric circles. Pause until mostly drained.
~1:30 Pour to 260g of water in center-weighted concentric circles.  
Gently Swirl the bed after your last pour

Total Brew time should be between 2:50 and 3:20  

TDS:  1.37% - 1.43%
Extraction %: 20.08 - 21.0","Grind Setting: 

4.7 - 5.8


Recipe:

Dose:  16g
Brew Water: 240g
Water Temperature: 87C


Brewing Instructions:

0:00 Pour slowly in concentric circles up to 240g while slowly spinning the aeropress
0:35 Use the aeropress paddle to stir the coffee NSEW 
1:10 Put the plunger on the aeropress and gently press until the you see the water disseapear from above the bed. 

Stop before the hissing sound.  Total brew should take 2min.  

If steeping longer, grind marginally coarser.  
If using Next Level or Sibarist Fast filters, grind finer.  

TDS:  1.36% - 1.4 %
Extraction %: 21.6 - 22.2","Grind Setting: 

5.5 - 6.7


Recipe:

Dose:  16g
Brew Water: 240g
Water Temperature: 97C


Brewing Instructions:

0:00 Pour in even, center-weighted concentric circles up to your brew weight of 240g. 

Stir the slurry with a plastic or wooden paddle back and fourth twice.  

2:00 Gently swirl the brewer and open the valve.  

Brew should take between 2:50 and 3:30

TDS:  1.36% - 1.47%
Extraction %: 21.6 - 23.2","Grind Setting: 

5.7 - 6.8


Recipe:

Dose:  14g
Brew Water: 230g
Water Temperature: 96C


Brewing Instructions:

Rinse your filter with hot water and discard the water from the carafe

0:00 Pour 40g of water in concentric circles.   Swirl the slurry 3x.   
0:45 Pour to 80g.  Pause for 10 seconds.  
Continue to pour 30g with 10-12 second pauses until you reach 230g.  
After your last pour, gently swirl the brewer 2x.

Total Brew time should be between 3:05 and 4:10 

TDS:  1.37% - 1.45%
Extraction %: 20.6 - 22"
