coffee,grind recommendation,espresso recipe
Peru Lenin Flores Washed Yellow Caturra,medium-fine,
Colombia Wilson Alba Washed Pink Bourbon,,
Guatemala Tony Medina Washed Caturra Espresso ‘26,,"Start medium-fine in the range where you would normally grind a Subtext espresso.  

2.5 : 1  Ratio (water-to-coffee)
30s Shot Duration*

*There are generally two styles of pulling lighter roasted espresso. Traditional shots run from 28 - 32 seconds and have a water-to-coffee ratio of 2.2 to 2.8:1. Turbo shots are modern, faster extractions, ground coarser, and pulled 14-20 seconds pulled to a 2.5 to 3:1 ratio. They are high extraction, lower body, but balanced with high flavour clarity."
Colombia Gladys Aullon Washed Caturra,,
Colombia Francy Burbano Washed Pink Bourbon,,
Kenya Kivanga Estate AA Washed SL28 & SL34,medium-coarse,
Honduras Heber Ávila Washed Sidra,medium–coarse,
Colombia Juan Jimenez Peña Washed Pink Bourbon,,
Ethiopia Karamo Adara Washed Walega Espresso,,"Start coarse in the range where you would normally grind a Subtext espresso.  

2.7 : 1  Ratio (water-to-coffee)
28s  Shot Duration*

*There are generally two styles of pulling lighter roasted espresso. Traditional shots run from 28 - 32 seconds and have a water-to-coffee ratio of 2.2 to 2.8:1. Turbo shots are modern, faster extractions, ground coarser, and pulled 14-20 seconds pulled to a 2.5 to 3:1 ratio. They are high extraction, lower body, but balanced with high flavour clarity."
Ethiopia Mullugeta Muntasha Natural Walega,coarse,
Ethiopia Hamasho Borena Anaerobic Washed Walega,coarse,
Kenya Kamathura AB Washed SL28,medium-coarse,
Rwanda Kinini Dufatanye Washed Bourbon,medium-coarse,
Colombia Huila Fortune Washed WP Decaf,fine,
Colombia Emiliano Popayan Washed Caturra,medium–coarse,
Colombia Raquel Lasso Washed Gesha,medium–fine,
Honduras Alex Aguilar Washed Field Blend,fine,
Ethiopia Habtamu Fikadu Washed Kurume & Wolisho,coarse,
Colombia Alirio Ortega Washed Pink Bourbon,medium-coarse,
Colombia Alirio Ortega Washed Pink Bourbon Espresso,,"Start in the middle of the range where you would normally grind a Subtext espresso.  

TRADITIONAL SHOT
2.9 : 1  Ratio (water-to-coffee)
30s  Shot Duration*

TURBO SHOT 
2.8 : 1  Ratio (water-to-coffee)
18s  Shot Duration*


*There are generally two styles of pulling lighter roasted espresso. Traditional shots run from 28 - 32 seconds and have a water-to-coffee ratio of 2.2 to 2.8:1. Turbo shots are modern, faster extractions, ground coarser, and pulled 14-20 seconds pulled to a 2.5 to 3:1 ratio. They are high extraction, lower body, but balanced with high flavour clarity."
Colombia Hugo Gonzalez,medium-fine,
Colombia Emerson Narvaez Natural Anaerobic Laurina,coarse,
Brazil Valdeir Tomazini Washed Catucai 785,,
Ethiopia Chelbesa One Washed Kurume & Wolisho,coarse,
Ethiopia Chelbesa One Washed Kurume & Wolisho Espresso ,,"Start coarse in the range where you would normally grind a Subtext espresso.  

2.8 : 1  Ratio (water-to-coffee)
18s  Shot Duration*


*There are generally two styles of pulling lighter roasted espresso. Traditional shots run from 28 - 32 seconds and have a water-to-coffee ratio of 2.2 to 2.8:1. Turbo shots are modern, faster extractions, ground coarser, and pulled 14-20 seconds pulled to a 2.5 to 3:1 ratio. They are high extraction, lower body, but balanced with high flavour clarity. "
Colombia Maria Delgado Washed Caturra,medium-fine,
Colombia Jose Bolaños Washed Gesha Sidra Pink bourbon,,
Colombia Yilver Pajoy Washed Gesha,medium-fine,
Colombia Alirio Ortega Washed Caturron,medium-fine,
Colombia Alirio Ortega Washed Chiroso,medium-fine,
Ethiopia Chelbesa Danche Washed Kurume & Wolisho Espresso ,,"Start coarse in the range where you would normally grind a Subtext espresso.  

2.6 : 1  Ratio (water-to-coffee)
18s  Shot Duration*


*There are generally two styles of pulling lighter roasted espresso. Traditional shots run from 28 - 32 seconds and have a water-to-coffee ratio of 2.2 to 2.8:1. Turbo shots are modern, faster extractions, ground coarser, and pulled 14-20 seconds pulled to a 2.5 to 3:1 ratio. They are high extraction, lower body, but balanced with high flavour clarity. "
Mexico Adonai Sanchez Washed Caturra,fine,
Ethiopia Nguisse Nare Natural Walega,coarse,
Peru Alarcon Family Washed Bourbon,,
Ecuador Livio Reyes Washed Sidra,coarse,
Guatemala Benjamin Lopez Washed Caturra & Bourbon,fine,
Ethiopia Buncho Honey Walega,coarse,
Guatemala Gregorio Pablo Washed Caturra & bourbon,fine,
Ecuador Abel Salinas Washed Mejorado,coarse,
Kenya Kirura AB Washed SL28 SL34 Ruiru 11,coarse,
Colombia Frank Torres Hydro Honey Sidra,,
Colombia Francy Castillo Washed Pink Bourbon,coarse,
Peru Dominga Carraso Washed Yellow Caturra,,
Colombia Francy Castillo Washed Gesha,,
Colombia Frank Torres Carbonic Maceration Pink Bourbon,coarse,
Colombia Frank Torres Hydro honey Pink Bourbon,coarse,
Colombia Audon Solano Washed Caturra & Colombia,medium-fine,
Mexico Edlizar Ordoñez Washed Catuai & Mundo Novo,fine,
Ecuador Los Japoneses Washed Field Blend,coarse,
Ecuador Sebastian Garces Washed Pacamara,,
Colombia Amigos del Huila Washed Field Blend,fine,
Ethiopia Chelbesa Danche Washed Kurume & Wolisho,coarse,
Colombia Ernedis Rodriguez Washed Sidra,coarse,
